Date,Index_Value,Unit,Sequence No.,Industry
2024-02-29,64.43705392,Index,40,Cigarettes
2024-02-29,73.55197781,Index,50,Cotton Yarn
2024-02-29,83.82123264,Index,60,Cotton Cloth
2024-02-29,65.57234953,Index,70,Jute Goods
2024-02-29,138.1125432,Index,80,Paper & Board
2024-02-29,96.75999097,Index,90,Cement
2024-02-29,64.5892366,Index,100,Automobiles
2024-02-29,115.1476723,Index,110,Fertilizers
2024-01-31,131.4664896,Index,10,Overall
2024-01-31,123.4495459,Index,20,Vegetable Ghee
2024-01-31,98.21648841,Index,30,Tea Blended
2024-01-31,45.82788386,Index,40,Cigarettes
2024-01-31,71.47725234,Index,50,Cotton Yarn
2024-01-31,83.81199462,Index,60,Cotton Cloth
2024-01-31,64.94392979,Index,70,Jute Goods
2024-01-31,133.3090734,Index,80,Paper & Board
2024-01-31,107.2928426,Index,90,Cement
2024-01-31,69.23059325,Index,100,Automobiles
2024-01-31,118.7306408,Index,110,Fertilizers
2023-12-31,132.4513302,Index,10,Overall
2023-12-31,122.3581499,Index,20,Vegetable Ghee
2023-12-31,104.7903757,Index,30,Tea Blended
2023-12-31,67.66563282,Index,40,Cigarettes
2023-12-31,71.38916107,Index,50,Cotton Yarn
2023-12-31,83.80044708,Index,60,Cotton Cloth
2023-12-31,65.22563519,Index,70,Jute Goods
2023-12-31,131.6862795,Index,80,Paper & Board
2023-12-31,123.8880108,Index,90,Cement
2023-12-31,48.50834689,Index,100,Automobiles
2023-12-31,119.3247036,Index,110,Fertilizers
2023-11-30,112.2503746,Index,10,Overall
2023-11-30,123.8275227,Index,20,Vegetable Ghee
2023-11-30,105.5566036,Index,30,Tea Blended
2023-11-30,54.70647584,Index,40,Cigarettes
2023-11-30,71.31868806,Index,50,Cotton Yarn
2023-11-30,83.78889955,Index,60,Cotton Cloth
2023-11-30,71.72652906,Index,70,Jute Goods
2023-11-30,130.7047351,Index,80,Paper & Board
2023-11-30,114.5066606,Index,90,Cement
2023-11-30,36.70796647,Index,100,Automobiles
2023-11-30,119.5271387,Index,110,Fertilizers
2023-10-31,109.07913,Index,10,Overall
2023-10-31,125.0039876,Index,20,Vegetable Ghee
2023-10-31,97.83337445,Index,30,Tea Blended
2023-10-31,65.42356414,Index,40,Cigarettes
2023-10-31,71.28168973,Index,50,Cotton Yarn
2023-10-31,83.77735202,Index,60,Cotton Cloth
2023-10-31,73.8501544,Index,70,Jute Goods
2023-10-31,136.2497726,Index,80,Paper & Board
2023-10-31,118.7062542,Index,90,Cement
2023-10-31,35.44417167,Index,100,Automobiles
2023-10-31,114.5836853,Index,110,Fertilizers
2023-09-30,114.146525,Index,10,Overall
2023-09-30,117.2743135,Index,20,Vegetable Ghee
2023-09-30,106.026789,Index,30,Tea Blended
2023-09-30,49.01162139,Index,40,Cigarettes
2023-09-30,71.25350053,Index,50,Cotton Yarn
2023-09-30,83.75425695,Index,60,Cotton Cloth
2023-09-30,78.68248551,Index,70,Jute Goods
2023-09-30,129.9454643,Index,80,Paper & Board
2023-09-30,126.8006322,Index,90,Cement
2023-09-30,52.24666966,Index,100,Automobiles
2023-09-30,115.2357716,Index,110,Fertilizers
2023-08-31,114.358865,Index,10,Overall
2023-08-31,119.6465772,Index,20,Vegetable Ghee
2023-08-31,110.7286421,Index,30,Tea Blended
2023-08-31,59.43724076,Index,40,Cigarettes
2023-08-31,71.23412045,Index,50,Cotton Yarn
2023-08-31,83.71961435,Index,60,Cotton Cloth
2023-08-31,77.44731567,Index,70,Jute Goods
2023-08-31,133.5195448,Index,80,Paper & Board
2023-08-31,130.7292843,Index,90,Cement
2023-08-31,55.17667326,Index,100,Automobiles
2023-08-31,116.5274163,Index,110,Fertilizers
2023-07-31,103.7436793,Index,10,Overall
2023-07-31,118.4000619,Index,20,Vegetable Ghee
2023-07-31,92.66133596,Index,30,Tea Blended
2023-07-31,35.26774037,Index,40,Cigarettes
2023-07-31,71.18831299,Index,50,Cotton Yarn
2023-07-31,83.45402109,Index,60,Cotton Cloth
2023-07-31,66.37412644,Index,70,Jute Goods
2023-07-31,110.6627392,Index,80,Paper & Board
2023-07-31,99.02912621,Index,90,Cement
2023-07-31,36.68812413,Index,100,Automobiles
2023-07-31,120.0244076,Index,110,Fertilizers
2023-06-30,108.6447913,Index,10,Overall
2023-06-30,126.2993557,Index,20,Vegetable Ghee
2023-06-30,81.22015992,Index,30,Tea Blended
2023-06-30,56.61223422,Index,40,Cigarettes
2023-06-30,71.17421839,Index,50,Cotton Yarn
2023-06-30,83.43092603,Index,60,Cotton Cloth
2023-06-30,94.99972913,Index,70,Jute Goods
2023-06-30,107.4977994,Index,80,Paper & Board
2023-06-30,123.3461278,Index,90,Cement
2023-06-30,47.94839278,Index,100,Automobiles
2023-06-30,104.6662437,Index,110,Fertilizers
2023-05-31,106.1241218,Index,10,Overall
2023-05-31,130.3729983,Index,20,Vegetable Ghee
2023-05-31,86.0961558,Index,30,Tea Blended
2023-05-31,72.53092186,Index,40,Cigarettes
2023-05-31,71.16012379,Index,50,Cotton Yarn
2023-05-31,83.37318836,Index,60,Cotton Cloth
2023-05-31,118.9446882,Index,70,Jute Goods
2023-05-31,134.8020437,Index,80,Paper & Board
2023-05-31,116.0307067,Index,90,Cement
2023-05-31,46.36527105,Index,100,Automobiles
2023-05-31,105.2303859,Index,110,Fertilizers
2023-04-30,100.5634118,Index,10,Overall
2023-04-30,123.6573848,Index,20,Vegetable Ghee
2023-04-30,89.43969583,Index,30,Tea Blended
2023-04-30,42.55446359,Index,40,Cigarettes
2023-04-30,71.14955283,Index,50,Cotton Yarn
2023-04-30,83.35009329,Index,60,Cotton Cloth
2023-04-30,117.7745273,Index,70,Jute Goods
2023-04-30,107.0512852,Index,80,Paper & Board
2023-04-30,86.76902235,Index,90,Cement
2023-04-30,35.43664335,Index,100,Automobiles
2023-04-30,117.7449314,Index,110,Fertilizers
2023-03-31,113.213402,Index,10,Overall
2023-03-31,132.1072449,Index,20,Vegetable Ghee
2023-03-31,105.6001393,Index,30,Tea Blended
2023-03-31,59.68386832,Index,40,Cigarettes
2023-03-31,71.14250553,Index,50,Cotton Yarn
2023-03-31,83.3154507,Index,60,Cotton Cloth
2023-03-31,144.3631833,Index,70,Jute Goods
2023-03-31,131.5328517,Index,80,Paper & Board
2023-03-31,123.3122601,Index,90,Cement
